numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07454;20160105080000;1535.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07916;20160105064000;1620.000000;270;2.000000;270.750000;269.770000;93;86;7;4;7;6;30;6;2;/;10.100000;mq;270.750000;mq;273.650000;0.450000;0.140000;-99;768.000000;3114.000000;mq;271.250000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;0;95.000000;
07918;20160105074500;2284.000000;0;0.000000;266.350000;264.700000;88;0;7;0;7;7;800;0;1;/;9.000000;mq;266.150000;mq;269.250000;0.800000;0.170000;-99;768.000000;3117.000000;mq;267.350000;mq;0;0;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07921;20160105083100;1680.000000;90;5.000000;270.350000;268.640000;88;0;7;0;7;6;450;0;7;0;10.000000;mq;268.250000;mq;272.450000;0.450000;0.170000;-99;768.000000;3117.000000;mq;270.650000;mq;0;0;mq;mq;mq;mq;mq;2;mq;mq;mq;0.180000;mq;1;1;mq;mq;mq;
07923;20160105082500;1895.000000;220;2.000000;268.050000;263.430000;70;0;4;3;2;2;1250;0;7;2;0.000000;mq;266.250000;mq;275.450000;0.200000;0.000000;-99;768.000000;3100.000000;mq;270.750000;mq;0;5;3;mq;mq;mq;mq;2;220;10.000000;0.200000;0.000000;mq;2;3;mq;1;180.000000;
07929;20160105085500;1855.000000;0;0.000000;269.050000;262.640000;61;0;7;0;1;1;800;2;0;0;1.600000;mq;268.450000;mq;272.850000;0.260000;0.020000;-99;768.000000;3102.000000;mq;265.950000;mq;0;0;0;mq;mq;mq;mq;2;270;8.000000;mq;mq;mq;1;1;mq;mq;mq;
07961;20160105083000;1745.000000;0;0.000000;270.450000;267.640000;81;70;7;6;8;8;450;6;/;/;13.000000;mq;270.450000;mq;274.650000;0.270000;0.100000;-99;768.000000;3110.000000;mq;273.050000;mq;0;mq;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;2;mq;2;mq;
07489;20160105083000;970.000000;180;2.000000;276.150000;mq;mq;0;6;0;4;4;2250;0;3;0;7.500000;mq;273.650000;mq;279.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07870;20160105075500;1650.000000;0;0.000000;271.150000;269.730000;90;0;7;0;4;4;1250;0;3;0;1.800000;mq;268.350000;mq;274.150000;0.250000;0.040000;-99;768.000000;3104.000000;mq;272.050000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;2;mq;1;180.000000;
07912;20160105070000;1707.000000;0;0.000000;270.050000;269.080000;93;0;7;0;7;7;450;5;/;/;5.700000;mq;268.850000;mq;273.050000;0.590000;0.090000;-99;768.000000;3109.000000;mq;270.650000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;0;80.000000;
07942;20160105083000;1910.000000;0;1.000000;270.350000;263.660000;60;0;0;0;2;2;2250;0;3;0;0.000000;mq;270.350000;mq;275.450000;0.180000;0.000000;-99;768.000000;3100.000000;mq;270.950000;mq;0;0;0;mq;mq;mq;mq;2;270;7.000000;mq;mq;mq;3;2;mq;1;140.000000;
07975;20160105082000;1420.000000;310;2.000000;273.050000;272.770000;98;45;7;6;9;mq;mq;/;/;/;4.700000;273.050000;mq;278.850000;mq;0.010000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07454;20160105090000;1535.000000;mq;mq;mq;mq;mq;71;7;3;mq;mq;250;/;/;/;mq;mq;mq;mq;mq;0.250000;0.100000;-99;768.000000;3110.000000;mq;273.050000;mq;0;4;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;9;9;mq;mq;mq;
07595;20160105090500;1915.000000;0;0.000000;270.050000;mq;mq;0;7;0;3;1;450;2;0;2;mq;mq;mq;mq;mq;mq;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07599;20160105082000;1240.000000;180;2.000000;271.150000;269.880000;91;44;7;4;4;4;30;6;0;0;3.700000;mq;270.150000;mq;274.550000;0.150000;0.030000;-99;768.000000;3103.000000;mq;272.950000;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07811;20160105084000;2350.000000;0;0.000000;267.150000;266.200000;93;0;4;7;6;6;1250;0;3;0;8.900000;mq;266.150000;mq;269.150000;0.680000;0.100000;-99;768.000000;3110.000000;mq;265.950000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;9;9;mq;0;80.000000;
07858;20160105084500;1765.000000;310;4.000000;269.650000;269.100000;96;70;7;0;9;9;mq;/;/;/;10.500000;mq;269.150000;mq;271.550000;0.900000;0.220000;-99;768.000000;3122.000000;mq;270.550000;mq;0;mq;mq;mq;mq;mq;mq;3;310;4.000000;1.360000;0.120000;mq;2;9;mq;0;120.000000;
07972;20160105074500;1715.000000;0;0.000000;270.950000;270.810000;99;71;7;6;9;9;mq;/;/;/;7.200000;mq;270.850000;mq;275.550000;0.290000;0.040000;-99;768.000000;3104.000000;mq;272.850000;mq;0;mq;0;mq;mq;mq;mq;mq;0;0.000000;0.260000;0.040000;mq;2;2;mq;2;mq;
07974;20160105080500;1500.000000;0;0.000000;272.650000;271.950000;95;70;6;7;8;8;450;6;/;/;7.400000;mq;272.750000;mq;276.450000;0.020000;0.020000;-99;768.000000;3102.000000;mq;273.250000;mq;0;5;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07980;20160105093000;2127.000000;360;7.000000;272.750000;271.310000;90;71;7;7;7;7;80;5;/;/;5.000000;mq;267.650000;mq;273.250000;0.050000;0.050000;-99;768.000000;3105.000000;mq;272.750000;mq;0;2;0;mq;mq;mq;mq;1;360;1.000000;mq;mq;mq;1;2;mq;mq;mq;
