numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07886;20160211075500;1720.000000;220;2.000000;266.450000;262.930000;76;0;7;0;6;6;800;0;7;/;0.500000;mq;266.150000;mq;271.150000;0.480000;0.010000;-99;768.000000;3101.000000;mq;270.650000;mq;0;4;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;4;mq;2;mq;
07917;20160211080000;1281.000000;0;0.000000;264.650000;262.430000;84;0;0;0;2;0;8000;0;0;2;0.000000;mq;264.550000;mq;278.350000;0.010000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07919;20160211075000;2130.000000;0;0.000000;263.250000;261.350000;86;0;0;0;2;0;8000;0;0;2;0.000000;mq;260.950000;mq;266.250000;0.980000;0.000000;-99;768.000000;3100.000000;mq;263.450000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;3;mq;1;190.000000;
07928;20160211070000;1550.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;8.500000;mq;mq;mq;mq;0.200000;0.120000;-99;768.000000;3112.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07955;20160211080000;1840.000000;270;10.000000;275.350000;271.200000;74;70;7;6;7;3;450;6;7;/;5.600000;mq;269.650000;mq;277.250000;0.220000;0.040000;-99;768.000000;3104.000000;mq;273.050000;mq;0;mq;mq;mq;mq;mq;mq;3;270;12.000000;1.650000;0.060000;mq;9;3;mq;1;220.000000;
07959;20160211074500;1860.000000;220;2.000000;mq;mq;mq;0;7;0;8;8;1250;0;7;7;3.900000;mq;mq;mq;mq;0.250000;0.070000;-99;768.000000;3107.000000;mq;272.550000;mq;0;0;0;mq;mq;mq;mq;3;220;4.000000;mq;0.070000;mq;1;1;mq;1;160.000000;
07489;20160211083000;970.000000;180;3.000000;274.150000;mq;mq;0;7;0;7;7;1250;2;3;2;1.600000;mq;271.150000;mq;277.150000;0.020000;0.020000;-99;768.000000;3102.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20160211082000;1570.000000;0;0.000000;268.150000;265.240000;80;0;7;3;7;7;3500;0;3;2;0.500000;mq;266.150000;mq;272.150000;0.220000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07873;20160211083500;1470.000000;0;0.000000;mq;mq;mq;0;7;0;2;2;mq;0;0;7;mq;mq;mq;mq;mq;0.960000;0.060000;-99;768.000000;3106.000000;mq;267.750000;mq;0;mq;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07928;20160211083000;1550.000000;220;2.000000;267.250000;266.440000;94;0;0;7;1;0;8000;0;0;2;6.000000;mq;265.550000;mq;268.150000;0.950000;0.120000;-99;768.000000;3112.000000;mq;265.550000;mq;0;0;mq;mq;mq;mq;mq;3;270;6.000000;1.200000;mq;mq;9;9;mq;0;60.000000;
